target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4358.75	0	0
NM_000015.3	1285	1033.75	3	0.16859
NM_000016.6	2261	2009.75	2448.94	70.7885
NM_000017.4	1859	1607.75	175.945	6.3575
NM_000018.4	2184	1932.75	1101.91	33.1204
NM_000019.4	1537	1285.75	4303.56	194.446
NM_000020.3	4177	3925.75	0	0
NM_000021.4	6018	5766.75	855.344	8.6166
NM_000022.4	1496	1244.75	319.612	14.9165
NM_000023.4	1429	1177.75	6.33198	0.31233
NM_000024.6	2013	1761.75	15	0.494622
NM_000025.3	2585	2333.75	1.13678	0.0282977
NM_000026.4	4359	4107.75	313.446	4.43287
NM_000027.4	2037	1785.75	307.097	9.99036
NM_000028.2	7449	7197.75	0	0
NM_000030.3	2900	2648.75	0	0
NM_000031.6	3129	2877.75	799.037	16.1302
NM_000032.5	1940	1688.75	2.31598	0.0796702
NM_000033.4	3669	3417.75	179	3.04256
NM_000035.4	2420	2168.75	11	0.294652
NM_000036.3	2335	2083.75	0	0
NM_000037.4	8292	8040.75	0	0
NM_000038.6	10704	10452.7	0	0
NM_000039.3	899	647.784	1.81127	0.162435
NM_000040.3	535	288.03	0	0
NM_000041.4	1166	914.747	640.734	40.6914
NM_000042.3	1174	922.747	0	0
NM_000043.6	3696	3444.75	211.015	3.55862
NM_000044.6	10667	10415.7	0	0
NM_000045.4	1447	1195.75	0	0
NM_000046.5	4852	4600.75	136.171	1.71942
NM_000047.3	2219	1967.75	0	0
NM_000048.4	2140	1888.75	84.1251	2.58748
NM_000049.4	5422	5170.75	78.1665	0.8782
NM_000050.4	1863	1611.75	211.218	7.61307
NM_000051.4	12915	12663.7	0	0
NM_000052.7	8492	8240.75	203.883	1.43728
NM_000053.4	6598	6346.75	0	0
NM_000054.7	1825	1573.75	0	0
NM_000055.4	2405	2153.75	68.962	1.86012
NM_000056.5	1506	1254.75	101.7	4.7086
NM_000057.4	5240	4988.75	1731.45	20.1625
NM_000059.4	11954	11702.7	202.283	1.00415
NM_000061.3	2575	2323.75	0	0
NM_000062.3	1830	1578.75	18.4615	0.679331
NM_000063.6	2610	2358.75	0	0
NM_000064.4	5231	4979.75	54	0.629959
