target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4376.91	0	0
NM_000015.3	1285	1051.91	1	0.0461862
NM_000016.6	2261	2027.91	3114.37	74.6125
NM_000017.4	1859	1625.91	216.575	6.47145
NM_000018.4	2184	1950.91	1090.45	27.1555
NM_000019.4	1537	1303.91	5175.63	192.844
NM_000020.3	4177	3943.91	0	0
NM_000021.4	6018	5784.91	903.193	7.58531
NM_000022.4	1496	1262.91	397.819	15.3039
NM_000023.4	1429	1195.91	5	0.203124
NM_000024.6	2013	1779.91	7	0.191069
NM_000025.3	2585	2351.91	5.18499	0.107107
NM_000026.4	4359	4125.91	358.676	4.2235
NM_000027.4	2037	1803.91	472.169	12.7167
NM_000028.2	7449	7215.91	0	0
NM_000030.3	2900	2666.91	0	0
NM_000031.6	3129	2895.91	729.694	12.2418
NM_000032.5	1940	1706.91	0	0
NM_000033.4	3669	3435.91	234.605	3.31731
NM_000035.4	2420	2186.91	16	0.35545
NM_000036.3	2335	2101.91	0.00431701	9.97836e-05
NM_000037.4	8292	8058.91	1.85619e-08	1.11902e-10
NM_000038.6	10704	10470.9	0	0
NM_000039.3	899	665.973	0	0
NM_000040.3	535	304.957	0	0
NM_000041.4	1166	932.908	856.379	44.5981
NM_000042.3	1174	940.908	0	0
NM_000043.6	3696	3462.91	202.816	2.84545
NM_000044.6	10667	10433.9	0	0
NM_000045.4	1447	1213.91	0	0
NM_000046.5	4852	4618.91	102.915	1.08251
NM_000047.3	2219	1985.91	0	0
NM_000048.4	2140	1906.91	180.836	4.60727
NM_000049.4	5422	5188.91	109.847	1.0285
NM_000050.4	1863	1629.91	265.499	7.91389
NM_000051.4	12915	12681.9	0	0
NM_000052.7	8492	8258.91	218.139	1.28322
NM_000053.4	6598	6364.91	0	0
NM_000054.7	1825	1591.91	2	0.0610382
NM_000055.4	2405	2171.91	58.3324	1.30484
NM_000056.5	1506	1272.91	85.4273	3.26054
NM_000057.4	5240	5006.91	2153.5	20.8961
NM_000059.4	11954	11720.9	0.152683	0.000632875
NM_000061.3	2575	2341.91	0	0
NM_000062.3	1830	1596.91	18.3	0.556751
NM_000063.6	2610	2376.91	0	0
NM_000064.4	5231	4997.91	88	0.855429
NM_000065.5	3691	3457.91	0	0
NM_000066.4	2040	1806.91	0	0
NM_000067.3	1562	1328.91	579.296	21.1785
NM_000068.4	8660	8426.91	0.622284	0.00358765
NM_000069.3	6028	5794.91	1.02824e-05	8.6206e-08
NM_000070.3	3315	3081.91	71.7472	1.13103
NM_000071.3	2495	2261.91	2431.19	52.2196
NM_000072.3	2108	1874.91	0	0
NM_000073.3	2690	2456.91	0	0
NM_000074.3	1852	1618.91	0	0
NM_000075.4	1865	1631.91	4363.22	129.898
NM_000076.2	1943	1709.91	21.7147	0.616979
NM_000077.5	978	744.908	963.212	62.8216
NM_000078.3	1691	1457.91	0	0
NM_000079.4	1984	1750.91	0	0
NM_000080.4	2482	2248.91	17.3158	0.374077
NM_000081.4	13466	13232.9	559.332	2.05354
NM_000082.4	9414	9180.91	106.434	0.56323
NM_000083.3	3187	2953.91	0	0
NM_000084.5	9472	9238.91	922.267	4.84982
NM_000085.5	2562	2328.91	3.98167	0.0830621
NM_000086.2	1879	1645.91	105.21	3.10557
NM_000087.5	2784	2550.91	1.24324e-06	2.36783e-08
NM_000088.4	5914	5680.91	564	4.82337
NM_000089.4	5072	4838.91	0	0
NM_000090.4	5490	5256.91	78	0.720865
NM_000091.5	8038	7804.91	80.8942	0.503546
NM_000092.5	9984	9750.91	0	0
NM_000093.5	8442	8208.91	1345.65	7.96407
NM_000094.4	9231	8997.91	1520.5	8.20984
NM_000095.3	2452	2218.91	24	0.525486
NM_000096.4	4452	4218.91	0	0
NM_000097.7	2709	2475.91	888.057	17.4259
NM_000098.3	2699	2465.91	962.64	18.966
NM_000099.4	793	560.134	512.55	44.4563
NM_000100.4	588	356.553	1196	162.966
NM_000101.4	692	459.341	890.181	94.1527
NM_000102.4	1750	1516.91	14	0.448393
NM_000103.4	4403	4169.91	0	0
NM_000104.4	5218	4984.91	117	1.1403
NM_000106.6	1588	1354.91	0	0
NM_000107.3	1815	1581.91	682.261	20.9536
NM_000108.5	3537	3303.91	4404.4	64.7661
NM_000109.4	13854	13620.9	0	0
NM_000110.4	4423	4189.91	339.659	3.93847
NM_000111.3	2882	2648.91	0	0
NM_000112.4	8054	7820.91	812.907	5.04979
NM_000113.3	2080	1846.91	1238	32.566
NM_000115.5	4274	4040.91	0	0
NM_000116.5	1906	1672.91	6.44152	0.187071
NM_000117.3	1281	1047.91	1126	52.2041
NM_000118.4	3082	2848.91	0	0
NM_000119.3	2434	2200.91	0	0
NM_000120.4	1780	1546.91	4.3952	0.13804
NM_000121.4	2411	2177.91	188.287	4.2002
NM_000122.2	2718	2484.91	2310.43	45.1724
