target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4379.31	0	0
NM_000015.3	1285	1054.31	2	0.0885598
NM_000016.6	2261	2030.31	2672.27	61.4461
NM_000017.4	1859	1628.31	326.763	9.36852
NM_000018.4	2184	1953.31	2519.59	60.2192
NM_000019.4	1537	1306.31	5194.32	185.634
NM_000020.3	4177	3946.31	0	0
NM_000021.4	6018	5787.31	841.098	6.78494
NM_000022.4	1496	1265.31	450.046	16.6049
NM_000023.4	1429	1198.31	2	0.0779177
NM_000024.6	2013	1782.31	5	0.130967
NM_000025.3	2585	2354.31	8.66052	0.171734
NM_000026.4	4359	4128.31	388.242	4.39042
NM_000027.4	2037	1806.31	299.34	7.73656
NM_000028.2	7449	7218.31	0	0
NM_000030.3	2900	2669.31	1.00905	0.0176478
NM_000031.6	3129	2898.31	581.754	9.37068
NM_000032.5	1940	1709.31	0	0
NM_000033.4	3669	3438.31	244.811	3.32401
NM_000035.4	2420	2189.31	3	0.063972
NM_000036.3	2335	2104.31	0	0
NM_000037.4	8292	8061.31	0	0
NM_000038.6	10704	10473.3	5.17783e-05	2.30802e-07
NM_000039.3	899	668.351	4	0.279403
NM_000040.3	535	307.611	0	0
NM_000041.4	1166	935.313	1245.01	62.1431
NM_000042.3	1174	943.313	0	0
NM_000043.6	3696	3465.31	105.304	1.41866
NM_000044.6	10667	10436.3	0	0
NM_000045.4	1447	1216.31	0	0
NM_000046.5	4852	4621.31	110.783	1.11914
NM_000047.3	2219	1988.31	0	0
NM_000048.4	2140	1909.31	132.032	3.22833
NM_000049.4	5422	5191.31	84.8216	0.762791
NM_000050.4	1863	1632.31	366.492	10.4819
NM_000051.4	12915	12684.3	0	0
NM_000052.7	8492	8261.31	65.6065	0.370744
NM_000053.4	6598	6367.31	0	0
NM_000054.7	1825	1594.31	0	0
NM_000055.4	2405	2174.31	83.0854	1.78394
NM_000056.5	1506	1275.31	87.8014	3.21411
NM_000057.4	5240	5009.31	986.881	9.19735
NM_000059.4	11954	11723.3	77.4574	0.308453
NM_000061.3	2575	2344.31	103.005	2.05126
NM_000062.3	1830	1599.31	4.44444	0.129736
NM_000063.6	2610	2379.31	6.38111	0.125205
NM_000064.4	5231	5000.31	73	0.681557
NM_000065.5	3691	3460.31	0	0
NM_000066.4	2040	1809.31	0	0
NM_000067.3	1562	1331.31	611.476	21.4425
NM_000068.4	8660	8429.31	0.451056	0.00249813
NM_000069.3	6028	5797.31	4.11445e-06	3.31331e-08
NM_000070.3	3315	3084.31	27.3107	0.413381
NM_000071.3	2495	2264.31	2201.19	45.3834
NM_000072.3	2108	1877.31	0	0
NM_000073.3	2690	2459.31	0	0
NM_000074.3	1852	1621.31	1.00002	0.028795
NM_000075.4	1865	1634.31	4647.77	132.766
NM_000076.2	1943	1712.31	0	0
NM_000077.5	978	747.313	1691.05	105.64
NM_000078.3	1691	1460.31	0	0
NM_000079.4	1984	1753.31	0	0
NM_000080.4	2482	2251.31	1.0943	0.0226922
NM_000081.4	13466	13235.3	394.561	1.39173
NM_000082.4	9414	9183.31	66.4594	0.337858
NM_000083.3	3187	2956.31	0	0
NM_000084.5	9472	9241.31	836.963	4.22814
NM_000085.5	2562	2331.31	15.2357	0.305098
NM_000086.2	1879	1648.31	142.646	4.04014
NM_000087.5	2784	2553.31	13.635	0.249304
NM_000088.4	5914	5683.31	21.2435	0.174502
NM_000089.4	5072	4841.31	5	0.0482151
NM_000090.4	5490	5259.31	69	0.612487
NM_000091.5	8038	7807.31	1.16414e-07	6.96114e-10
NM_000092.5	9984	9753.31	0	0
NM_000093.5	8442	8211.31	779.711	4.433
NM_000094.4	9231	9000.31	1556.57	8.07398
NM_000095.3	2452	2221.31	28	0.588471
NM_000096.4	4452	4221.31	0	0
NM_000097.7	2709	2478.31	769.413	14.4937
NM_000098.3	2699	2468.31	986.357	18.6557
NM_000099.4	793	562.499	633.11	52.5453
NM_000100.4	588	359.182	1333	173.258
NM_000101.4	692	461.943	1162.62	117.497
NM_000102.4	1750	1519.31	16	0.491642
NM_000103.4	4403	4172.31	0	0
NM_000104.4	5218	4987.31	148	1.38539
NM_000106.6	1588	1357.31	0	0
NM_000107.3	1815	1584.31	430.059	12.6725
NM_000108.5	3537	3306.31	3349.92	47.3006
NM_000109.4	13854	13623.3	0	0
NM_000110.4	4423	4192.31	87.6696	0.976274
NM_000111.3	2882	2651.31	0	0
NM_000112.4	8054	7823.31	537.249	3.20598
NM_000113.3	2080	1849.31	1242	31.3536
NM_000115.5	4274	4043.31	27.9975	0.323264
NM_000116.5	1906	1675.31	0	0
NM_000117.3	1281	1050.31	1255	55.7829
NM_000118.4	3082	2851.31	0	0
NM_000119.3	2434	2203.31	0	0
NM_000120.4	1780	1549.31	0	0
NM_000121.4	2411	2180.31	86.0347	1.84218
NM_000122.2	2718	2487.31	1898.86	35.6401
