target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4370.04	0	0
NM_000015.3	1285	1045.04	3	0.131284
NM_000016.6	2261	2021.04	3287.56	74.3915
NM_000017.4	1859	1619.04	144.971	4.09495
NM_000018.4	2184	1944.04	1385.65	32.5968
NM_000019.4	1537	1297.04	5918.18	208.67
NM_000020.3	4177	3937.04	0	0
NM_000021.4	6018	5778.04	1019.6	8.07
NM_000022.4	1496	1256.04	376.132	13.695
NM_000023.4	1429	1189.04	10	0.384617
NM_000024.6	2013	1773.04	24	0.619038
NM_000025.3	2585	2345.04	2.62699	0.0512311
NM_000026.4	4359	4119.04	428.609	4.75872
NM_000027.4	2037	1797.04	447.098	11.3781
NM_000028.2	7449	7209.04	0	0
NM_000030.3	2900	2660.04	2.29491	0.0394551
NM_000031.6	3129	2889.04	481.438	7.62099
NM_000032.5	1940	1700.04	0	0
NM_000033.4	3669	3429.04	176.703	2.35665
NM_000035.4	2420	2180.04	17	0.356623
NM_000036.3	2335	2095.04	0.000718377	1.56814e-05
NM_000037.4	8292	8052.04	0	0
NM_000038.6	10704	10464	0	0
NM_000039.3	899	659.068	3	0.208169
NM_000040.3	535	299.525	0	0
NM_000041.4	1166	926.039	826.235	40.8036
NM_000042.3	1174	934.039	0	0
NM_000043.6	3696	3456.04	175.455	2.32173
NM_000044.6	10667	10427	0	0
NM_000045.4	1447	1207.04	9.46697	0.358686
NM_000046.5	4852	4612.04	187.711	1.86132
NM_000047.3	2219	1979.04	0	0
NM_000048.4	2140	1900.04	195.486	4.70521
NM_000049.4	5422	5182.04	113.433	1.00106
NM_000050.4	1863	1623.04	216.112	6.0894
NM_000051.4	12915	12675	0	0
NM_000052.7	8492	8252.04	0	0
NM_000053.4	6598	6358.04	0	0
NM_000054.7	1825	1585.04	0	0
NM_000055.4	2405	2165.04	84.7255	1.78967
NM_000056.5	1506	1266.04	78.524	2.83648
NM_000057.4	5240	5000.04	1423.32	13.0183
NM_000059.4	11954	11714	177.683	0.693687
NM_000061.3	2575	2335.04	0	0
NM_000062.3	1830	1590.04	0	0
NM_000063.6	2610	2370.04	0	0
NM_000064.4	5231	4991.04	81	0.742196
NM_000065.5	3691	3451.04	0	0
NM_000066.4	2040	1800.04	0	0
NM_000067.3	1562	1322.04	577.777	19.9867
NM_000068.4	8660	8420.04	0.596774	0.00324131
NM_000069.3	6028	5788.04	0	0
NM_000070.3	3315	3075.04	27.4857	0.408772
NM_000071.3	2495	2255.04	2665.59	54.0585
NM_000072.3	2108	1868.04	0	0
NM_000073.3	2690	2450.04	0	0
NM_000074.3	1852	1612.04	1.00001	0.0283695
NM_000075.4	1865	1625.04	4003.31	112.663
NM_000076.2	1943	1703.04	13.8849	0.372858
NM_000077.5	978	738.068	1094.12	67.7946
NM_000078.3	1691	1451.04	2	0.0630341
NM_000079.4	1984	1744.04	0	0
NM_000080.4	2482	2242.04	11.993	0.24463
NM_000081.4	13466	13226	497.656	1.72077
NM_000082.4	9414	9174.04	147.703	0.736296
NM_000083.3	3187	2947.04	0	0
NM_000084.5	9472	9232.04	731.833	3.62526
NM_000085.5	2562	2322.04	3.24442	0.0638987
NM_000086.2	1879	1639.04	100.931	2.81616
NM_000087.5	2784	2544.04	17.3359	0.311635
NM_000088.4	5914	5674.04	437	3.5222
NM_000089.4	5072	4832.04	0	0
NM_000090.4	5490	5250.04	77	0.670738
NM_000091.5	8038	7798.04	3.19181e-06	1.87187e-08
NM_000092.5	9984	9744.04	0	0
NM_000093.5	8442	8202.04	820.692	4.57597
NM_000094.4	9231	8991.04	1260.39	6.4109
NM_000095.3	2452	2212.04	27	0.558207
NM_000096.4	4452	4212.04	0	0
NM_000097.7	2709	2469.04	948.801	17.5741
NM_000098.3	2699	2459.04	1227.08	22.8208
NM_000099.4	793	553.137	509.493	42.1241
NM_000100.4	588	350.299	1204	157.185
NM_000101.4	692	452.676	930.666	94.0224
NM_000102.4	1750	1510.04	14	0.423999
NM_000103.4	4403	4163.04	0	0
NM_000104.4	5218	4978.04	149	1.36884
NM_000106.6	1588	1348.04	0	0
NM_000107.3	1815	1575.04	965.085	28.022
NM_000108.5	3537	3297.04	4854.64	67.3376
NM_000109.4	13854	13614	0	0
NM_000110.4	4423	4183.04	292.254	3.19516
NM_000111.3	2882	2642.04	0	0
NM_000112.4	8054	7814.04	134.358	0.786344
NM_000113.3	2080	1840.04	1318	32.7577
NM_000115.5	4274	4034.04	19.8743	0.225307
NM_000116.5	1906	1666.04	42.1658	1.15744
NM_000117.3	1281	1041.04	1029	45.2036
NM_000118.4	3082	2842.04	9.08	0.14611
NM_000119.3	2434	2194.04	0	0
NM_000120.4	1780	1540.04	30.1857	0.896384
NM_000121.4	2411	2171.04	147.5	3.10705
NM_000122.2	2718	2478.04	2288.79	42.2399
NM_000123.4	3888	3648.04	2336	29.2845
NM_000124.4	9001	8761.04	111.299	0.58098
NM_000125.4	6327	6087.04	0	0
NM_000126.4	2289	2049.04	4119.67	91.9468
NM_000127.3	8243	8003.04	1126.29	6.43603
NM_000128.4	3053	2813.04	0	0
NM_000129.4	3828	3588.04	0	0
NM_000130.5	9132	8892.04	56.0076	0.288052
NM_000131.4	3144	2904.04	0	0
NM_000132.4	9032	8792.04	40.3059	0.209654
NM_000133.4	2800	2560.04	0	0
NM_000134.4	2226	1986.04	30.7896	0.708992
NM_000135.4	5452	5212.04	969.853	8.50986
NM_000136.3	4592	4352.04	220.178	2.3137
NM_000137.4	1456	1216.04	263.976	9.92755
NM_000138.5	11609	11369	0.00128683	5.17633e-06
NM_000139.5	3648	3408.04	0	0
NM_000140.5	7689	7449.04	1053.1	6.46538
NM_000141.5	4624	4384.04	0	0
NM_000142.5	4301	4061.04	1.91574e-05	2.15737e-07
NM_000143.4	1791	1551.04	1562	46.0556
NM_000144.5	6978	6738.04	373.287	2.53358
NM_000145.4	2762	2522.04	0	0
NM_000146.4	871	631.068	3423	248.059
NM_000147.5	2043	1803.04	375.851	9.53313
NM_000148.4	4214	3974.04	1134.4	13.0544
NM_000149.4	2565	2325.04	0	0
NM_000150.4	3326	3086.04	0	0
NM_000151.4	4164	3924.04	0	0
NM_000152.5	3751	3511.04	252.868	3.2937
NM_000153.4	3794	3554.04	0	0
NM_000154.2	1397	1157.04	402.246	15.8989
NM_000155.4	1756	1516.04	179.213	5.40609
NM_000156.6	1110	870.039	179.634	9.44223
NM_000157.4	2291	2051.04	220.664	4.92019
NM_000158.4	2941	2701.04	1012.68	17.1461
NM_000159.4	1852	1612.04	259.703	7.3676
NM_000160.5	2030	1790.04	0.0433218	0.0011068
NM_000161.3	2916	2676.04	566.023	9.67312
NM_000162.5	2745	2505.04	0	0
NM_000163.5	4899	4659.04	29.122	0.285858
NM_000164.4	3310	3070.04	0	0
NM_000165.5	3083	2843.04	2298	36.9651
NM_000166.6	1937	1697.04	0	0
NM_000167.6	4410	4170.04	9.52432	0.104452
NM_000168.6	8405	8165.04	31.1936	0.174716
NM_000169.3	1318	1078.04	1360.85	57.7298
NM_000170.3	3843	3603.04	703	8.923
NM_000171.4	1812	1572.04	0	0
NM_000172.4	2465	2225.04	50.9352	1.0469
NM_000173.7	2514	2274.04	38	0.764206
NM_000174.5	877	637.068	0	0
NM_000175.5	4125	3885.04	3154.7	37.1354
NM_000176.3	6778	6538.04	18.6523	0.13047
NM_000177.5	2619	2379.04	308.98	5.93956
NM_000178.4	1909	1669.04	2762.29	75.6882
NM_000179.3	4265	4025.04	948.95	10.782
NM_000180.4	3680	3440.04	0	0
NM_000181.4	2199	1959.04	0	0
NM_000182.5	2943	2703.04	8826.98	149.343
NM_000183.3	1997	1757.04	2060.99	53.6438
NM_000184.3	586	348.407	0	0
NM_000185.4	2203	1963.04	7	0.163077
NM_000186.4	3962	3722.04	6.34575	0.0779699
NM_000187.4	1674	1434.04	9	0.287016
NM_000188.3	3602	3362.04	3176.9	43.214
NM_000189.5	5626	5386.04	1016.37	8.62995
NM_000190.4	1505	1265.04	428.664	15.4967
NM_000191.3	1570	1330.04	832.56	28.627
NM_000192.3	3921	3681.04	0	0
NM_000193.4	4650	4410.04	20.0133	0.20754
NM_000194.3	1395	1155.04	6789	268.803
NM_000195.5	3703	3463.04	0	0
NM_000196.4	1896	1656.04	0	0
NM_000197.2	1159	919.039	0	0
NM_000198.4	1675	1435.04	0	0
NM_000199.5	2705	2465.04	0	0
NM_000200.3	532	296.688	0	0
NM_000201.3	2967	2727.04	12.7727	0.214198
NM_000202.8	7580	7340.04	1298.97	8.09331
NM_000203.5	2174	1934.04	26.3716	0.623584
NM_000204.5	1978	1738.04	7.81612	0.205663
NM_000206.3	1480	1240.04	0	0
NM_000207.3	465	234.108	0	0
NM_000208.4	9463	9223.04	299.487	1.485
NM_000209.4	2603	2363.04	141	2.72881
NM_000210.4	5816	5576.04	596.107	4.88903
NM_000211.5	2807	2567.04	2	0.0356305
NM_000212.3	5941	5701.04	31.4247	0.252082
NM_000213.5	5896	5656.04	0	0
NM_000214.3	5940	5700.04	247	1.98173
NM_000215.4	5386	5146.04	0.000444956	3.95429e-06
NM_000216.4	6265	6025.04	505.165	3.83441
NM_000217.3	7985	7745.04	10	0.0590474
NM_000218.3	3224	2984.04	4.10061	0.0628447
NM_000219.6	3505	3265.04	0	0
NM_000220.6	2333	2093.04	0	0
NM_000221.3	2397	2157.04	233.021	4.9404
NM_000222.3	5147	4907.04	1.06718e-07	9.94588e-10
